title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg),total_time,time_score_norm,health_score_norm
Nightshade-Free AIP Curry,10,30,52,Indian,chicken,chicken breast,1,0,0,0,0,0,450.71,32.39,27.34,31.33,22.76,7.69,24.11,779.05,18.44,7.1,0.96,17.91,405.24,2.23,1502.85,1.95,142.77,0.41,2.18,8.56,2.3,0.28,0.54,7.35,0.08,232.11,174.84,182.52,205.18,9647.18,0.0,40,94.0,52.0
"Chicken, potato & green bean curry",10,30,45,Indian,chicken,chicken thighs,1,0,0,0,0,0,237.64,6.71,1.67,39.88,32.94,11.65,6.97,246.96,7.69,3.15,0.62,2.61,165.68,0.97,1021.47,0.54,69.53,0.21,3.25,6.94,1.05,0.24,0.39,3.25,0.15,30.55,141.02,57.69,41.43,1835.98,0.0,40,94.0,45.0
Easy Chicken Vegetable Curry,10,20,24,Indian,chicken,chicken thighs,1,0,0,0,0,0,513.9,39.85,25.26,16.33,10.49,9.05,107.73,352.54,27.26,8.72,0.77,32.8,378.44,1.91,874.84,1.27,96.22,0.32,2.66,5.84,2.85,0.22,0.42,3.82,0.73,39.94,74.57,65.35,50.49,7631.41,0.0,30,96.0,24.0
Lighter South Indian fish curry,20,20,33,Indian,seafood,white fish fillets,0,0,0,0,1,0,368.71,13.12,7.79,33.25,29.72,9.97,62.5,228.88,28.23,40.24,0.42,58.13,272.13,1.03,616.57,0.51,60.99,0.15,1.78,3.53,0.92,0.12,0.24,1.65,1.98,20.69,64.34,421.6,88.16,918.74,3.88,40,94.0,33.0
Super-quick fish curry,5,10,6,Indian,seafood,fish,0,0,0,0,1,0,78.56,1.21,0.3,15.7,12.88,6.93,0.75,385.42,2.82,1.28,0.2,1.0,44.45,0.33,351.51,0.24,24.01,0.06,1.26,2.82,0.34,0.09,0.2,1.49,0.0,5.47,54.18,20.21,12.52,912.23,0.0,15,99.0,6.0
Stir-fry green curry beef with asparagus & sugar snaps,10,10,25,Indian,beef,steak,0,1,0,0,0,0,344.75,18.32,7.8,13.19,9.72,3.74,76.25,405.46,30.8,10.38,0.99,35.41,331.6,1.28,751.09,0.33,55.7,0.29,2.77,3.47,5.84,0.23,0.3,4.46,1.5,67.26,93.76,80.49,33.2,1613.49,0.0,20,98.0,25.0
Jamaican Curry Chicken,15,30,61,Indian,chicken,chicken breast,1,0,0,0,0,0,399.03,8.82,1.77,46.24,37.45,6.38,72.57,301.42,36.02,18.34,1.64,38.54,492.7,2.59,1748.84,0.71,104.15,0.35,1.71,8.8,2.2,0.36,0.47,4.06,0.46,29.78,83.68,95.23,79.83,5465.26,0.0,45,94.0,61.0
Thai prawn & squash curry,20,40,27,Indian,seafood,shrimp,0,0,0,0,1,0,403.76,25.43,21.9,33.76,27.03,12.24,96.6,449.86,17.49,3.37,0.37,7.88,309.81,1.04,1166.89,1.54,138.93,0.08,2.88,6.74,1.95,0.24,0.7,4.07,0.0,13.81,165.48,86.98,47.65,21133.06,0.0,60,91.0,27.0
Creamy shrimp curry,10,20,29,Indian,seafood,shrimp,0,0,0,0,1,0,824.84,38.36,23.35,73.01,68.99,8.13,386.32,1141.45,47.83,34.38,0.2,30.71,559.48,1.02,765.91,0.81,94.8,0.7,1.13,4.02,3.53,0.88,0.84,5.11,0.26,4.0,244.74,495.32,54.4,1751.61,1.46,30,96.0,28.999999999999996
Thai Green Curry with Chicken,10,20,20,Indian,chicken,chicken breast,1,0,0,0,0,0,596.62,36.53,22.7,55.3,48.4,9.45,18.08,847.45,16.55,6.89,0.67,24.06,296.03,1.45,818.76,1.85,107.19,0.17,2.37,6.9,2.01,0.21,0.53,3.37,0.1,21.97,80.7,79.64,102.41,3432.68,0.0,30,96.0,20.0
Thai pork & peanut curry,10,30,17,Indian,pork,pork tenderloin,0,0,0,1,0,0,389.48,19.18,9.0,26.86,24.16,8.01,65.0,445.84,27.17,9.8,0.93,32.71,349.86,1.46,635.56,0.47,73.39,0.41,1.78,2.7,2.71,1.06,0.21,2.2,0.52,16.09,50.0,30.53,8.46,2557.76,0.3,40,94.0,17.0
Beef curry,20,150,16,Indian,beef,steak,0,1,0,0,0,0,519.64,30.88,10.83,30.78,26.51,8.53,86.36,588.7,31.86,8.17,0.77,32.8,259.13,0.34,888.6,0.75,65.11,0.44,2.66,4.27,7.09,0.24,0.36,4.44,2.08,14.62,96.25,26.34,13.89,380.7,0.0,170,73.0,16.0
Coconut fish curry,15,15,18,Indian,seafood,belacan,0,0,0,0,1,0,430.71,24.56,21.23,22.1,18.08,8.42,102.8,213.29,35.06,1.19,0.2,37.13,415.15,0.38,993.01,1.34,73.78,0.04,0.63,4.02,1.76,0.07,0.57,4.3,0.0,6.9,136.84,31.02,28.33,146.53,0.0,30,96.0,18.0
Butternut Squash Curry (Paleo + Whole30),25,20,22,Indian,chicken,chicken breast,1,0,0,0,0,0,266.46,11.74,7.94,14.89,11.35,4.71,72.57,666.69,26.86,13.1,1.07,37.34,309.45,2.01,801.48,0.52,75.89,0.18,1.59,3.53,1.13,0.17,0.18,2.97,0.23,18.7,81.24,44.32,43.39,6154.28,0.0,45,94.0,22.0
The ultimate makeover: Thai green chicken curry,35,20,31,Indian,chicken,chicken breast,1,0,0,0,0,0,620.47,28.13,19.16,66.71,62.22,5.12,54.24,478.47,27.61,11.5,0.95,39.07,404.75,2.3,1023.7,2.04,141.3,0.25,2.45,4.48,2.22,0.26,0.54,7.47,0.18,100.32,139.98,65.79,56.45,855.3,0.0,55,92.0,31.0
Coconut Turkey Curry In a Hurry,10,20,18,Indian,other,ground turkey,0,0,0,0,0,1,387.68,25.51,16.88,18.37,16.05,2.76,49.9,1210.64,25.69,10.22,1.05,22.53,340.29,1.22,740.6,1.09,93.64,0.19,2.1,2.32,2.55,0.13,0.33,4.93,0.46,65.95,57.99,67.44,42.72,2082.66,0.36,30,96.0,18.0
15-minute prawn curry,5,10,15,Indian,seafood,shrimp,0,0,0,0,1,0,321.62,24.88,20.94,10.85,7.79,6.3,126.0,954.85,16.97,2.84,0.27,36.34,356.08,0.53,541.12,1.17,86.82,0.07,2.04,3.06,1.78,0.07,0.48,2.76,1.13,127.39,109.2,87.39,13.2,3844.75,0.0,15,99.0,15.0
Coconut Curry Chicken + Weekly Menu,10,20,23,Indian,chicken,chicken breast,1,0,0,0,0,0,448.14,30.25,23.55,15.16,10.89,8.97,87.09,596.94,32.19,15.48,1.26,49.83,400.08,2.3,917.86,0.98,85.69,0.19,1.36,4.27,1.63,0.15,0.31,2.84,0.28,6.14,58.22,48.76,69.4,3012.94,0.0,30,96.0,23.0
