,title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg)
215,Kabocha Squash Thai Red Curry,15,55,11,Indian,,,0,0,0,0,0,0,346.68,17.1,12.94,43.48,38.47,5.19,7.53,382.5,8.1,1.77,0.52,7.93,174.31,0.77,607.54,1.48,75.14,0.1,0.47,5,1.38,0.1,0.37,3.63,0,40.26,83.09,62.58,13.67,3983.24,0
216,Vegan Curried Pumpkin Lentil Soup,10,40,45,,,,0,0,0,0,0,0,393.64,10.77,7.79,53.18,33.61,8.78,3.12,534.64,20.27,2.13,0.47,10.18,347.92,1.73,905.15,0.98,101.39,0.33,2.21,19.57,2.96,0.49,0.45,5.79,0.35,25.04,146.66,257.77,10.85,19680.72,0
217,Curried Parsnip and Spinach Soup,-1,-1,23,,,,0,0,0,0,0,0,390.98,32.04,15.78,26.03,17.77,8.29,0,1416.07,5.02,1.59,0.24,6.26,154.98,0.7,767.98,1.44,80.56,0.13,4.67,8.26,1.23,0.14,0.35,3.26,0,191.9,94.81,130.4,27.85,6382.33,0
218,"Vegetable Coconut Curry Soup (vegan, paleo)",10,25,20,Indian,,,0,0,0,0,0,0,428.1,38.19,32.67,25.09,20.38,10.77,0,1778.87,4.88,2.17,0.39,1.49,189.16,0.58,727.54,1.54,91.51,0.17,2.34,4.7,1.33,0.13,0.4,6.3,0,30.45,87.62,70.01,83.31,10498.43,0
219,Instant Pot Coconut Curry Chicken,20,15,12,Indian,chicken,chicken breast,1,0,0,0,0,0,357.49,22.48,17.44,14.54,11.02,6.98,72.87,682.81,27.65,13.31,1.03,37.41,336.53,2,877.79,0.94,65.55,0.18,1.77,3.52,1.47,0.15,0.38,3.23,0.23,6.27,49.21,31.3,10.97,290.75,0
220,Curry Crackers,-1,-1,2,Indian,,,0,0,0,0,0,0,267.15,12.22,7.34,34.81,32.57,0.9,30.1,587.04,4.88,2.65,0.06,15.25,60.23,0.2,105.37,0.69,19.17,0.22,1.01,2.24,0.46,0.34,0.1,2.99,0,4.11,26.17,81.4,0,379.69,0.21
221,Chicken Massaman Curry,20,75,57,Thai,chicken,whole chicken,1,0,0,0,0,0,786.67,29.16,10.03,99.38,86,9.19,81.65,1617.21,34.5,13.7,2.1,21.66,548.3,2.76,2623.21,1.3,212.96,0.34,1.13,13.38,3.77,0.56,0.9,6.91,0.42,21.55,135.14,112.2,106.06,9321.63,0.22
222,Thai squash & pineapple curry,10,30,64,Indian,,,0,0,0,0,0,0,177.1,4.26,0.6,35.65,30.17,13.12,0,210.76,3.11,2.66,0.43,1.35,88.13,0.9,852.6,0.79,82.48,0.09,4.3,5.47,0.48,0.26,0.21,2.05,0,18.36,124.17,78.24,52.09,21086.42,0
223,Massaman Curry Paste,10,20,17,Thai,seafood,belacan,0,0,0,0,1,0,24.61,0.33,0.05,4.73,3.77,1.76,10.69,36.86,1.57,0.4,0.18,0,20.54,0,127.06,0.31,11.12,0.03,0.22,0.96,0.18,0.03,0.06,0.76,0,4.28,19.33,8.21,41.93,274.35,0
224,Vegan Thai Pumpkin Curry,25,20,33,Indian,,,0,0,0,0,0,0,489.33,32.48,22.26,47.1,36.59,15.25,0,808.85,8.54,3.5,0.72,7.41,246.05,1.37,1255.7,1.42,98.41,0.17,2.67,10.51,1.48,0.21,0.52,4.9,0,30.6,117.97,94.82,100.45,20442.15,0
